StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intent | Friday_1,Intent | Friday_2,Intent | Friday_3,Intent | Museum_1,Intent | Museum_2,Intent | Museum_3,Intent | Sick_1,Intent | Sick_2,Intent | Sick_3,Intent | WYD_1,Intent | WYD_2,Intent | WYD_3,Intent | Bored_1,Intent | Bored_2,Intent | Bored_3,Intent | Missed Show_1,Intent | Missed Show_2,Intent | Missed Show_3,Intent | Oolong Tea_1,Intent | Oolong Tea_2,Intent | Oolong Tea_3,Intent | Lunch_1,Intent | Lunch_2,Intent | Lunch_3,Intent | Common Room_1,Intent | Common Room_2,Intent | Common Room_3,Intent | Party_1,Intent | Party_2,Intent | Party_3,Text | Friendship,Text | Friendship_DO,P(Text | Friendship)_1,P(Text | Friendship)_2,P(Text | Friendship)_3,P(Text | Friendship)_4,P(Text | Friendship)_5,P(Text | Friendship)_6,P(Text | Friendship)_7,P(Text | Friendship)_8,P(Text | Friendship)_9,P(Text | Friendship)_10,P(Text | Friendship)_DO,Text | Relationship,Text | Relationship_DO,P(Text|Relationship)_1,P(Text|Relationship)_2,P(Text|Relationship)_3,P(Text|Relationship)_4,P(Text|Relationship)_5,P(Text|Relationship)_6,P(Text|Relationship)_7,P(Text|Relationship)_8,P(Text|Relationship)_9,P(Text|Relationship)_10,P(Text|Relationship)_DO,Text | Hookup,Text | Hookup_DO,P(Text | Hookup)_1,P(Text | Hookup)_2,P(Text | Hookup)_3,P(Text | Hookup)_4,P(Text | Hookup)_5,P(Text | Hookup)_6,P(Text | Hookup)_7,P(Text | Hookup)_8,P(Text | Hookup)_9,P(Text | Hookup)_10,P(Text | Hookup)_DO,Race,Gender,Sexuality,Sexuality_6_TEXT,Age,Major,FL_6_DO,Intent|Behavior_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Hey, super nice seeing you today, you looked great btw. You busy Friday night? I’d love to hang out"" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Hey, super nice seeing you today, you looked great btw. You busy Friday night? I’d love to hang out"" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Hey, super nice seeing you today, you looked great btw. You busy Friday night? I’d love to hang out"" - Hookup","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Hey was great talking to you last night! If you want to hit up that [common interest] museum, lmk! I was thinking of going next week if you wanna join"" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Hey was great talking to you last night! If you want to hit up that [common interest] museum, lmk! I was thinking of going next week if you wanna join"" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Hey was great talking to you last night! If you want to hit up that [common interest] museum, lmk! I was thinking of going next week if you wanna join"" - Hookup","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""how are you doing? ik you mentioned you felt a little sick"" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""how are you doing? ik you mentioned you felt a little sick"" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""how are you doing? ik you mentioned you felt a little sick"" - Hookup","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Heyyy, what are you doing tn?"" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Heyyy, what are you doing tn?"" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Heyyy, what are you doing tn?"" - Hookup","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""wanna hang out I’m bored"" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""wanna hang out I’m bored"" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""wanna hang out I’m bored"" - Hookup","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""I’m so sorry I missed your show!! I heard it was so good :)"" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""I’m so sorry I missed your show!! I heard it was so good :)"" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""I’m so sorry I missed your show!! I heard it was so good :)"" - Hookup","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Did you want to work on the pset together? I have some new oolong tea my friend got me."" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Did you want to work on the pset together? I have some new oolong tea my friend got me."" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""Did you want to work on the pset together? I have some new oolong tea my friend got me."" - Hookup","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""haven't seen you in a while lunch sometime?"" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""haven't seen you in a while lunch sometime?"" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""haven't seen you in a while lunch sometime?"" - Hookup","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""heya! i had fun yesterday- wanna come back to my common room after the show?"" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""heya! i had fun yesterday- wanna come back to my common room after the show?"" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""heya! i had fun yesterday- wanna come back to my common room after the show?"" - Hookup","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""are you planning to go to thomas’s party on friday? i want to go but i don’t want to be alone"" - Friendship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""are you planning to go to thomas’s party on friday? i want to go but i don’t want to be alone"" - Relationship","Given that you received the following text from an acquaintance you're comfortable with, please rate each option based on the chances that the sender wants that type of connection. For example, if you rate friendship as an 8 and relationship as a 4, then you think that the sender is twice as likely to want to start a friendship as they are to want to start a relationship. Assume that your genders and sexualities are compatible.



Text: ""are you planning to go to thomas’s party on friday? i want to go but i don’t want to be alone"" - Hookup",Given that you would like to start a friendship with this person: which of these messages would you at least consider sending (must choose at least one)?,Given that you would like to start a friendship with this person: which of these messages would you at least consider sending (must choose at least one)? - Display Order,"Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Hey, super nice seeing you today, you looked great btw. You busy Friday night? I’d love to hang out","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Hey was great talking to you last night! If you want to hit up that [common interest] museum, lmk! I was thinking of going next week if you wanna join","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - how are you doing? ik you mentioned you felt a little sick","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Heyyy, what are you doing tn?","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - wanna hang out I’m bored","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - I’m so sorry I missed your show!! I heard it was so good :)","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Did you want to work on the pset together? I have some new oolong tea my friend got me.","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - haven't seen you in a while lunch sometime?","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - heya! i had fun yesterday- wanna come back to my common room after the show?","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - are you planning to go to thomas’s party on friday? i want to go but i don't want to be alone","Given that you're still trying to start a friendship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Display Order",Given that you would like to start a relationship with this person: which of these messages would you at least consider sending (must choose at least one)?,Given that you would like to start a relationship with this person: which of these messages would you at least consider sending (must choose at least one)? - Display Order,"Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Hey, super nice seeing you today, you looked great btw. You busy Friday night? I’d love to hang out","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Hey was great talking to you last night! If you want to hit up that [common interest] museum, lmk! I was thinking of going next week if you wanna join","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - how are you doing? ik you mentioned you felt a little sick","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Heyyy, what are you doing tn?","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - wanna hang out I’m bored","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - I’m so sorry I missed your show!! I heard it was so good :)","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Did you want to work on the pset together? I have some new oolong tea my friend got me.","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - haven't seen you in a while lunch sometime?","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - heya! i had fun yesterday- wanna come back to my common room after the show?","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - are you planning to go to thomas’s party on friday? i want to go but i don't want to be alone","Given that you're still trying to start a relationship with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Display Order",Given that you would like to hookup with this person: which of these messages would you at least consider sending (must choose at least one)?,Given that you would like to hookup with this person: which of these messages would you at least consider sending (must choose at least one)? - Display Order,"Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Hey, super nice seeing you today, you looked great btw. You busy Friday night? I’d love to hang out","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Hey was great talking to you last night! If you want to hit up that [common interest] museum, lmk! I was thinking of going next week if you wanna join","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - how are you doing? ik you mentioned you felt a little sick","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Heyyy, what are you doing tn?","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - wanna hang out I’m bored","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - I’m so sorry I missed your show!! I heard it was so good :)","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Did you want to work on the pset together? I have some new oolong tea my friend got me.","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - haven't seen you in a while lunch sometime?","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - heya! i had fun yesterday- wanna come back to my common room after the show?","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - are you planning to go to thomas’s party on friday? i want to go but i don't want to be alone","Given that you're still trying to hookup with this person, please rate these messages based on how likely you are to send each one (if you had to pick one). For example, if you rate response A as an 8 and response B as a 4, then this indicates that you're twice as likely to send A as you are to send B. - Display Order",Race/Ethnicity,Gender,Sexuality - Selected Choice,Sexuality - Other - Text,Age,What category does your concentration fall under?,FL_6 - Block Randomizer - Display Order,Intent | Behavior - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_DO""}","{""ImportId"":""QID9_x1""}","{""ImportId"":""QID9_x2""}","{""ImportId"":""QID9_x3""}","{""ImportId"":""QID9_x4""}","{""ImportId"":""QID9_x5""}","{""ImportId"":""QID9_x6""}","{""ImportId"":""QID9_x7""}","{""ImportId"":""QID9_x8""}","{""ImportId"":""QID9_x9""}","{""ImportId"":""QID9_x10""}","{""ImportId"":""QID9_DO""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_DO""}","{""ImportId"":""QID15_x1""}","{""ImportId"":""QID15_x2""}","{""ImportId"":""QID15_x3""}","{""ImportId"":""QID15_x4""}","{""ImportId"":""QID15_x5""}","{""ImportId"":""QID15_x6""}","{""ImportId"":""QID15_x7""}","{""ImportId"":""QID15_x8""}","{""ImportId"":""QID15_x9""}","{""ImportId"":""QID15_x10""}","{""ImportId"":""QID15_DO""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_DO""}","{""ImportId"":""QID16_x1""}","{""ImportId"":""QID16_x2""}","{""ImportId"":""QID16_x3""}","{""ImportId"":""QID16_x4""}","{""ImportId"":""QID16_x5""}","{""ImportId"":""QID16_x6""}","{""ImportId"":""QID16_x7""}","{""ImportId"":""QID16_x8""}","{""ImportId"":""QID16_x9""}","{""ImportId"":""QID16_x10""}","{""ImportId"":""QID16_DO""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_6_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""FL_6_DO""}","{""ImportId"":""BL_9ELDHt2WdGo4izk_DO""}"
2022-12-15 10:01:01,2022-12-15 10:10:10,0,108.7.78.173,100,549,1,2022-12-15 10:10:11,R_2SkOOR0BF5svtFL,,,,42.2803,-71.25,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7|1|6|8|5|2|10|9|3|4,,,,,,,,9,,,8,2,5|1|6|7|2|8|9|4|10|3,,1,,,,,,,,,2,1,3|2|4|1|5|7|10|6|8|9,0,,,,,,,,,,1,1,2,1,,20,3,Behavior|Intent,
2022-12-15 10:09:04,2022-12-15 10:13:13,0,65.112.8.16,100,249,1,2022-12-15 10:13:13,R_3JgcV9adOI9IcBD,,,,42.3737,-71.1284,anonymous,EN,0,0,0,7,6,0,8,4,2,5,4,8,0,0,0,5,6,6,7,5,1,5,0,1,4,4,8,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,,23,3,Intent|Behavior,Intent | Sick|Intent | Party|Intent | WYD|Intent | Museum|Intent | Missed Show|Intent | Friday|Intent | Oolong Tea|Intent | Bored|Intent | Lunch|Intent | Common Room
2022-12-15 10:11:08,2022-12-15 10:13:33,0,65.112.8.51,100,145,1,2022-12-15 10:13:34,R_2dZnXfsyQ0Zqc8w,,,,42.3737,-71.1284,anonymous,EN,7,7,0,8,8,0,10,6,0,0,0,10,7,7,0,0,7,9,2,3,0,10,0,0,0,0,10,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,4,,21,3,Intent|Behavior,Intent | Common Room|Intent | Party|Intent | Missed Show|Intent | Museum|Intent | Bored|Intent | Friday|Intent | Sick|Intent | Oolong Tea|Intent | Lunch|Intent | WYD
2022-12-15 10:14:43,2022-12-15 10:17:19,0,65.112.8.22,100,155,1,2022-12-15 10:17:20,R_VVlv0WY321WASCl,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,5,6,8",9|10|7|3|8|2|1|4|5|6,,6,,,8,4,,8,,,8|2|6|5,"1,4,8",9|1|4|6|3|8|5|10|2|7,7,,,8,,,,7,,,8|4|1,"4,9",7|1|9|5|8|3|6|2|10|4,,,,9,,,,,7,,4|9,4,2,1,,20,3,Behavior|Intent,
2022-12-15 10:12:18,2022-12-15 10:20:22,0,166.198.21.86,100,484,1,2022-12-15 10:20:23,R_1dMMuIo19OkL0HX,,,,42.3562,-71.0631,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3,6,7,8",6|7|10|9|3|4|1|8|5|2,,4,9,,,7,2,8,,,8|7|2|3|6,"1,2,3,4,6,9,10",8|3|5|6|4|1|7|2|10|9,4,7,5,9,,6,,,3,8,6|9|2|10|4|3|1,"1,4,5,9,10",7|4|6|2|3|1|8|9|10|5,3,,,9,7,,,,4,4,4|10|5|1|9,1,3,4,,23,4,Behavior|Intent,
2022-12-15 10:19:02,2022-12-15 10:24:00,0,65.112.8.16,100,298,1,2022-12-15 10:24:01,R_2sR1QcY5KAGmGNo,,,,42.3737,-71.1284,anonymous,EN,4,8,5,8,8,2,9,5,0,1,3,10,2,8,4,3,8,5,8,4,6,10,5,0,5,5,10,8,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,,24,3,Intent|Behavior,Intent | Friday|Intent | WYD|Intent | Party|Intent | Sick|Intent | Bored|Intent | Lunch|Intent | Missed Show|Intent | Common Room|Intent | Oolong Tea|Intent | Museum
2022-12-15 10:19:02,2022-12-15 10:25:10,0,162.231.6.141,100,368,1,2022-12-15 10:25:11,R_33wH3sFGmWZIbYS,,,,33.8242,-118.268,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2,3,4,6,7,8,10",3|7|5|10|2|9|1|4|8|6,8,8,10,7,,9,9,9,,7,8|7|2|6|4|3|10|1,"2,3",6|2|5|8|7|10|9|4|1|3,,9,8,,,,,,,,2|3,"4,9,10",4|8|9|1|5|7|6|2|3|10,,,,10,,,,,8,6,4|9|10,6,2,4,,21,2,Behavior|Intent,
2022-12-15 10:27:22,2022-12-15 10:31:10,0,65.112.8.23,100,227,1,2022-12-15 10:31:10,R_3CBlhQv4Yu1WLMG,,,,42.3737,-71.1284,anonymous,EN,4,4,5,9,2,0,7,4,0,3,4,9,2,6,8,4,4,5,5,7,4,8,1,0,4,1,6,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,22,3,Intent|Behavior,Intent | Oolong Tea|Intent | WYD|Intent | Bored|Intent | Common Room|Intent | Friday|Intent | Missed Show|Intent | Sick|Intent | Lunch|Intent | Party|Intent | Museum
